NumberOfParameters;ValidValues;InvalidValues;ErrorHandlers;Strength;Size;NoOfVariants;IndexOfIncorrectEH;Absolute;
24;5;1;6;3;786;100;3;100;
24;5;1;6;4;6662;100;2;100;
24;5;1;6;2;83;100;0;100;
24;5;1;6;2;83;100;3;100;
24;5;1;6;4;6662;100;5;100;
24;5;1;6;4;6662;100;0;100;
24;5;1;6;2;83;100;4;100;
24;5;1;6;5;51287;100;5;100;
24;5;1;6;4;6662;100;4;100;
24;5;1;6;2;83;100;5;100;
24;5;1;6;3;786;100;2;100;
24;5;1;6;3;786;100;5;100;
24;5;1;6;2;83;100;1;100;
24;5;1;6;3;786;100;1;100;
24;5;1;6;4;6662;100;3;100;
24;5;1;6;5;51287;100;2;100;
24;5;1;6;3;786;100;0;100;
24;5;1;6;1;6;100;3;53;
24;5;1;6;1;6;100;1;86;
24;5;1;6;5;51287;100;4;100;
24;5;1;6;1;6;100;5;44;
24;5;1;6;5;51287;100;0;100;
24;5;1;6;3;786;100;4;100;
24;5;1;6;5;51287;100;3;100;
24;5;1;6;5;51287;100;1;100;
24;5;1;6;1;6;100;2;70;
24;5;1;6;1;6;100;0;100;
24;5;1;6;1;6;100;4;46;
24;5;1;6;2;83;100;2;100;
24;5;1;6;4;6662;100;1;100;
